,Premises - NL,Conclusions - NL,Truth Values,Premises - FOL,Conclusions - FOL,Comments,Verified by Prover
335,"No shooting gaurds are taller than 7 feet
All the top 75 basketball centers are taller than 7 feet.
All basketball players playing two positions are shooting guards. 
All guards not playing the point position are basketball players playing two positions.
If John is either a Top 75 basketball center or John is a shooting guard, then John is not both a basketball player playing two positions and a guard not playing the point position.","John is a Top 75 basketball center.
John is a guard not playing the point position.
John is not a guard not playing the point position.","U
F
T","∀x (ShootingGuard(x) → ¬TallerThan(x, 7Feet))
∀x (Top75BasketballCenter(x) → TallerThan(x, 7Feet))
∀x (Play(x, twoPosition) → ShootingGuard(x))
∀x (Guard(x) ∧ ¬Play(x, pointPosition) → Play(x, twoPosition))
Top75BasketballCenter(john) ⊕ ShootingGuard(john) → ¬(Guard(john) ∧ ¬Play(john, pointPosition) ∧ Play(john, twoPosition))","Top75BasketballCenter(john)
Guard(john) ∧ ¬Play(john, pointPosition)
¬(Guard(john) ∧ ¬Play(john, pointPosition))",,
336,"No vegetables are called sweets.
All desserts are called sweets. 
All vegetables are grown. 
All cookies are desserts. 
The cake is either called a cookie or it is called a sweet. ","Cake is called a dessert.
Cake is a vegetable. 
Cake is not a vegetable.","U
F
T","∀x (Vegetable(x) → Sweet(x))
∀x (Dessert(x) → Sweet(x))
∀x (Vegetable(x) → Grown(x))
∀x (Cookie(x) → Dessert(x))
Cookie(cake) ⊕ Sweet(cake)","Dessert(cake)
Vegetable(cake)
¬Vegetable(cake)",,
337,"No athletes never exercise.
All professional basketball players are athletes. 
All NBA players are professional basketball players. 
All Knicks players are NBA players. 
Either Jim is a professional basketball player and he never exercises, or he is not a professional basketball player and he sometimes exercises.","Jim is a Knicks player.
Jim is not a Knicks player.
Jim is an athlete. ","F
T
U","∀x (Athlete(x) → ¬NeverExercises(x)) Never: does not exist a time
∀x (ProfessionalBasketballPlayer(x) → Athlete(x))
∀x (NBAPlayer(x) → ProfessionalBasketballPlayer(x))
∀x (KnicksPlayer(x) → NBAPlayer(x))
¬(ProfessionalBasketballPlayer(jim) ⊕ NeverExercises(jim))","KnicksPlayer(jim)
¬KnicksPlayer(jim)
Athlete(jim)",,
338,"No iPhones are standalone desktops. 
All Apple-made cellphones are iPhones.  
All phones with A15 Bionic chips are Apple-made cell phones. 
All phones equipped with four core-GPU made by Apple are phones with A15 Bionic chips. 
If an unannounced Huawei phone is either a phone with A15 Bionic chips or equipped with four core-GPU made by Apple, then unannounced Huawei phone is neither a phone with A15 Bionic chips nor a standalone desktop.","Joe is a person taking classes. 
Joe is a PhD student. 
Joe is not a PhD student. ","U
F
T","∀x (IPhone(x) → ¬StandaloneDesktop(x))
∀x (AppleMade(x) ∧ Cellphone(x) → IPhone(x))
∀x (Phone(x) ∧ With(x, a15BionicChip) → AppleMade(x) ∧ Cellphone(x))
∀x (Phone(x) ∧ EquippedWith(x, fourCoreGPU) ∧ MadeBy(x, apple) → Phone(x) ∧ With(x, a15BionicChip))
(Phone(unannouncedHuaweiPhone) ∧ With(unannouncedHuaweiPhone, a15BionicChip)) ⊕ (Phone(unannouncedHuaweiPhone) ∧ EquippedWith(unannouncedHuaweiPhone, fourCoreGPU) ∧ MadeBy(unannouncedHuaweiPhone, apple)) → ¬(Phone(unannouncedHuaweiPhone) ∧ With(unannouncedHuaweiPhone, a15BionicChip) ∧ StandaloneDesktop(unannouncedHuaweiPhone))","AppleMade(unannouncedHuaweiPhone) ∧ Cellphone(unannouncedHuaweiPhone)
Phone(unannouncedHuaweiPhone) ∧ EquippedWith(unannouncedHuaweiPhone, fourCoreGPU) ∧ MadeByApple(unannouncedHuaweiPhone)
¬(Phone(unannouncedHuaweiPhone) ∧ EquippedWith(unannouncedHuaweiPhone, fourCoreGPU) ∧ MadeByApple(unannouncedHuaweiPhone))",,
339,"No professional tennis umpires are professional tennis players.
If you are a World Tour player, then you are a professional tennis player.
All Grand Slam champions are World Tour players.
All Grand Slam umpires are professional tennis umpires.
Nadal is a World Tour player or a Grand Slam champion","Nadal is a Grand Slam umpire.
Nadal is not a Grand Slam umpire.
Nadal is a Grand Slam champion.
Nadal is neither a Grand Slam umpire nor a professional tennis umpire.
If Nadal is a professional tennis umpire, then Nadal is a Grand Slam Umpire.
If Nadal is a Grand Slam umpire or a professional tennis player, then Nadal is a Grand Slam umpire.","F
T
U
T
T
F","∀x (ProfessionalTennisUmpire(x) → ¬ProfessionalTennisPlayer(x))
∀x (WorldTourPlayer(x) → ProfessionalTennisPlayer(x))
∀x (GrandSlamChampion(x) → WorldTourPlayer(x))
∀x (GrandSlamUmpire(x) → ProfessionalTennisUmpire(x))
WorldTourPlayer(nadal) ∨ GrandSlamChampion(nadal)","GrandSlamUmpire(nadal)
¬GrandSlamUmpire(nadal)
GrandSlamChampion(nadal)
¬(GrandSlamUmpire(nadal) ∨ ProfessionalTennisUmpire(nadal))
ProfessionalTennisUmpire(nadal) → GrandSlamUmpire(nadal)
GrandSlamUmpire(nadal) ∨ ProfessionalTennisPlayer(nadal) → GrandSlamUmpire(nadal)",,
340,"Everyone at the mixer is a Grand Slam champion or an Oscar-nominated actor.
Every Grand Slam champion at the mixer is a professional tennis player.
All Oscar-nominated actors at the mixer are celebrities.
All professional tennis players at the mixer are athletes.
If a person at the mixer is a celebrity, then they are well paid.
If a person at the mixer is an athlete, then they are famous.
All well-paid people at the mixer live in tax havens.
Djokovic is at the mixer: if Djokovic is a famous athlete, then Djokovic is well-paid.","Djokovic is a Grand Slam champion.
Djokovic lives in a tax haven.
Djokovic does not live in a tax haven.","U
T
F","∀x (At(x, mixer) → (GrandSlam(x) ∧ Champion(x)) ∨ (OscarNominated(x) ∧ Actor(x)))
∀x (At(x, mixer) ∧ (GrandSlam(x) ∧ Champion(x) → Professional(x) ∧ TennisPlayer(x))
∀x (At(x, mixer) ∧ (OscarNominated(x) ∧ Actor(x) → Celebrity(x))
∀x (At(x, mixer) ∧ Professional(x) ∧ TennisPlayer(x) → Athlete(x))
∀x (At(x, mixer) ∧ Celebrity(x) → WellPaid(x))
∀x (At(x, mixer) ∧ Athlete(x) → Famous(x))
∀x (At(x, mixer) ∧ WellPaid(x) → LiveIn(x, taxHaven))
At(djokovic, mixer) ∧ (Famous(djokovic) ∧ Athlete(djokovic) → WellPaid(djokovic))","GrandSlam(djokovic) ∧ Champion(djokovic)
LiveIn(djokovic, taxHaven)
¬LiveIn(djokovic, taxHaven)",,
341,"No battery-powered watch is automatic.
All digital watches are battery-powered.
Some mechanical watches are automatic.
All smart watches are digital.
Moonwatch is either a digital watch and an automatic, or it is neither.","Moonwatch is a mechanical watch.
Moonwatch is a smartwatch and a mechanical watch.
If Moonwatch is a smartwatch and a mechanical watch, then Moonwatch is not a mechanical watch.
If Moonwatch is a mechanical or battery-powered watch, then Moonwatch is not a smartwatch.","U
F
T
T","∀x (BatteryPoweredWatch(x) → ¬AutomaticWatch(x))
∀x (DigitalWatch(x) → BatteryPoweredWatch(x))
∃x (MechanicalWatch(x) ∧ AutomaticWatch(x))
∀x (SmartWatch(x) → DigitalWatch(x))
¬(DigitalWatch(moonwatch) ⊕ AutomaticWatch(moonwatch))","MechanicalWatch(moonWatch)
SmartWatch(moonwatch) ∧ MechanicalWatch(moonwatch)
SmartWatch(moonwatch) ∧ MechanicalWatch(moonwatch) → ¬MechanicalWatch(moonwatch)
MechanicalWatch(moonwatch)) ∨ BatteryPoweredWatch(moonwatch) → ¬SmartWatch(moonwatch)",,
342,"All sports cars are loud.
No loud cars are electric.
If a car is a Ferrari, then it is a sports car.
All cars made in Maranello are Ferraris.
The Toyota Prius is made in Maranello or is a loud car, or both.","Prius is an electric car.
The Toyota Prius is not an electric car.
The Toyota Prius is a equipped with a Ferrari V12 engine.
If The Toyota Prius is a Ferrari or a loud car, then The Toyota Prius is an electric car.","F
T
U
F","∀x (SportsCar(x) → LoudCar(x))
∀x (LoudCar(x) → ¬ElectricCar(x))
∀x (Ferrari(x) → SportsCar(x))
∀x ((Car(x) ∧ MadeIn(x, maranello)) → Ferrari(x))
(Car(toyotaPrius) ∧ MadeIn(toyotaPrius, maranello)) ∨ LoudCar(toyotaPrius)","ElectricCar(toyotaPrius)
¬ElectricCar(toyotaPrius)
MadeIn(toyotaPrius, maranello)
Ferrari(toyotaPrius) ∨ LoudCar(toyotaPrius) → ElectricCar(toyotaPrius)",,
343,"No digital media are analog.
Every printed text is analog media.
All streaming services are digital media.
If an object is a hardcover book, then it is printed text.
If 1984 is a streaming service, then 1984 is a hardcover book.","1984 is printed text.
1984 is a streaming service.
1984 is not a streaming service.","U
F
T","∀x (DigitalMedia(x) → ¬AnalogMedia(x))
∀x (PrintedText(x) → AnalogMedia(x))
∀x (StreamingService(x) → DigitalMedia(x))
∀x (HardcoverBook(x) → PrintedText(x))
StreamingService(1984) → HardcoverBook(1984)","PrintedText(y1984)
StreamingService(y1984)
¬StreamingService(y1984)",,
344,"All students are members of the university.
All graduate students are students.
All PhD students are graduate students.
Some PhD students are Teaching Fellows.
If John is not a PhD student, then he is not a member of the university.
If John is a Teaching Fellow, then he is a PhD student or a graduate student.","John is a Teaching Fellow
John is not a Teaching Fellow.
John is a PhD student.","F
T
U","∀x (Student(x) → MemberOf(x, university))
∀x (GraduateStudent(x) → Student(x))
∀x (PhDStudent(x) → GraduateStudent(x))
∃x (PhDStudent(x) ∧ TeachingFellow(x))
¬PhDStudent(john) → ¬MemberOf(john, university)
TeachingFellow(john) → PhDStudent(john) ⊕ GraduateStudent(john)","TF(john)
¬TF(john)
PhDStudent(john)",,
345,"All kids are young.
All toddlers are kids.
If someone is young, then they are not elderly.
All pirates are seafarers.
If Nancy is not a pirate, then Nancy is young.
If Nancy is not a toddler, then Nancy is a seafarer.","Nancy is a pirate.
Nancy is either both a pirate and a toddler, or neither a pirate nor a toddler.
If Nancy is not either a pirate or a toddler, then she is young and is a kid.","U
F
T","∀x (Kid(x) → Young(x))
∀x (Toddler(x) → Kid(x))
∀x (Young(x) → ¬Elderly(x))
∀x (Pirate(x) → Seafarer(x))
¬Pirate(nancy) → Young(nancy)
¬Toddler(nancy) → Seafarer(nancy)","Pirate(nancy)
¬(Pirate(nancy) ⊕ Toddler(nancy))
¬(Pirate(nancy) ⊕ Toddler(nancy)) → Young(nancy) ∧ Kid(nancy)",,
346,"All professional athletes spend most of their time on sports.
All Olympic gold medal winners are professional athletes.
No full-time scientists spend the majority of their time on sports.
All Nobel physics laureates are full-time scientists.
Amy spends the most time on sports, or Amy is an Olympic gold medal winner.
If Amy is not a Nobel physics laureate, then Amy is not an Olympic gold medal winner.","Amy is a professional athlete.
Amy is neither a full-time scientist nor an Olympic gold medal winner.
If Amy is not an Olympic gold medal winner, then Amy is a Nobel physics laureate.","U
T
F","∀x (ProfessionalAthlete(x) → SpendOn(x, mostOfTheirTime, sports))
∀x (OlympicGoldMedalWinner(x) → ProfessionalAthlete(x))
∀x (FullTimeScientist(x) → ¬SpendOn(x, mostOfTheirTime, sports))
∀x (NobelPhysicsLaureate(x) → FullTimeScientist(x))
SpendOn(amy, mostOfTheirTime, sports) ∨ OlympicGoldMedalWinner(amy)
¬NobelPhysicsLaureate(amy) → ¬OlympicGoldMedalWinner(amy)","ProfessionalAthlete(amy)
¬(FullTimeScientist(amy) ∨ OlympicGoldMedalWinner(amy))
¬OlympicGoldMedalWinner(amy) → NobelPhysicsLaureate(amy)",,
347,"All mammals are living beings.
All elephants are mammals.
All baby elephants are elephants.
Some baby elephants are sleepy.
If Jumbo is a living being, then Jumbo is not both an elephant and a mammal.
If Jumbo is sleepy, then Jumbo is either a baby elephant or a mammal.","Jumbo is sleepy.
Jumbo is not sleepy.
Jumbo is a living being.
Jumbo is neither sleepy nor a baby elephant.
Jumbo is not sleepy or an elephant.","F
T
U
T
T","∀x (Mammal(x) → LivingBeing(x)) 
∀x (Elephant(x) → Mammal(x))
∀x (BabyElephant(x) → Elephant(x))
∃x (BabyElephant(x) ∧ Sleepy(x))
LivingBeing(jumbo) → ¬(Elephant(jumbo) ∧ Mammal(jumbo))
Sleepy(jumbo) → BabyElephant(jumbo) ⊕ Mammal(jumbo)","Sleepy(jumbo)
¬Sleepy(jumbo)
LivingBeing(jumbo)
¬Sleepy(jumbo) ∧ ¬BabyElephant(jumbo))
¬(Sleepy(jumbo) ⊕ Elephant(jumbo))",,
348,"All young adults at the event like independence.
All college students at the event are young adults.
All Yale students at the event are college students.
Everyone at the event is a Yale student or a Harvard student.
All Harvard students at the event are diligent.
Susan is at the event, and if Susan is a Harvard student, then she is a young adult.
If Susan is a Yale student, then she does not like independence.","Susan is a college student.
Susan likes independence and is diligent.
Susan is not both diligent and likes independence.","U
T
F","∀x (At(x, event) ∧ YoungAdult(x) → Like(x, independence))
∀x (At(x, event) ∧ CollegeStudent(x) → YoungAdult(x))
∀x (At(x, event) ∧ YaleStudent(x) → CollegeStudent(x))
∀x (At(x, event) → (YaleStudent(x) ⊕ HarvardStudent(x)))
∀x (At(x, event) ∧ HarvardStudent(x) → Diligent(x))
At(susan, event) ∧ (HarvardStudent(susan) → YoungAdult(susan))
YaleStudent(susan) → ¬Like(susan, independence)","CollegeStudent(susan)
Like(susan, independence) ∧ Diligent(susan)
¬(Like(susan, independence) ∧ Diligent(susan))",,
349,"All disposables are designed to be used only once.
Some items used in Tom's house are eco-friendly.
Every item used in Tom's house is either disposable or reusable. 
If something is made from metal, then it is not made from plastic. 
All reusable items used in Tom's house are made from metal.
The chopsticks used in Tom's house are either made from metals and plastics, or that they are neither made from metals nor plastics.","The chopsticks used in Tom's house are eco-friendly. 
The chopsticks used in Tom's house are eco-friendly or designed to be used only once.
If chopsticks used in Tom's house are made from plastic or designed to be used only once, then they are made from plastic and are eco-friendly.","U
T
F","∀x (Disposable(x) → DesignedToBeOnlyUsedOnce(x))
∃x (EcoFriendly(x))
∀x (UsedIn(x, tomsHouse) → Disposable(x) ⊕ Reusable(x))
∀x (MadeFrom(x, metal) → ¬MadeFrom(x, plastic))
∀x (Reusable(x) → MadeFrom(x, metal))
¬(MadeFrom(chopsticksUsedInTomsHouse, metal) ⊕ MadeFrom(chopsticksUsedInTomsHouse, plastic))","EcoFriendly(chopsticks)
EcoFriendly(chopsticks) ∨ DesignedToBeOnlyUsedOnce(chopsticks)
MadeFrom(chopsticks, plastic) ∨ DesignedBeOnlyUsedOnce(chopsticks) → MadeFrom(chopsticks, plastic) ∧ EcoFriendly(chopsticks)",,
350,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adores are evocative.
All of Kelly Wearstler's design styles that Max adores are dreamy.
If a design by Max that he adores has interesting geometries, then the design is a brutalist building and evocative.","A design by Max is a brutalist building. 
A design by Max is evocative and dreamy. 
A design by Max is either evocative or dreamy.","U
T
F","∀x (Adore(max, x) ∧ ZahaHadid(x) ∧ DesignStyle(x) → InterestingGeometry(x))
∀x (Adore(max, x) ∧ BrutalistBuilding(x) → ¬InterestingGeometry(x))
∀x (Adore(max, x) → ((ZahaHadid(x) ∧ DesignStyle(x)) ⊕ (KellyWearstler(x) ∧ DesignStyle(x)))
∀x (Adore(max, x) ∧ KellyWearstler(x) ∧ DesignStyle(x) → Evocative(x))
∀x (Adore(max, x) ∧ KellyWearstler(x) ∧ DesignStyle(x) → Dreamy(x))
∃x (Adore(max, x) ∧ Design(x) ∧ ByMax(x) ∧ InterestingGeometry(x) → BrutalistBuilding(x) ∧ Evocative(x))","∃x (Design(x) ∧ ByMax(x) ∧ BrutalistBuilding(x))
∃x (Design(x) ∧ ByMax(x) ∧ Evocative(x) ∧ Dreamy(x))
∃x (Design(x) ∧ ByMax(x) ∧ (Evocative(x) ⊕ Dreamy(x)))",,
351,"All flight destinations from Tweed Airport are in domestic America.
No places that do not require a passport for American citizens to visit have Russian as a widely-spoken language.
If somewhere is in domestic America, then American citizens don't need a passport to travel there. 
All Baltic countries have Russian as a widely-spoken language.
All places that have many Estonian street signs are Baltic countries.
If the place visited by Max is either a flight destination from Tweed Airport or a Baltic country , then the place that Max wants to visit is not a Baltic country.","The place visited by Max is a domestic flight from Tweed Airport.
The place visited by Max is a place that has many Estonian street signs.
The place visited by Max is not a place that both has many Estonian street signs and is a Baltic country.","U
F
T","∀x (FlightDestination(x) ∧ From(x, tweedAirport) → In(x, domesticAmerica))
∀x (¬NeedAPassportToVisit(americanCitizen, x) → ¬RusisanAsWidelySpokenLanguage(x))
∀x (In(x, domesticAmerica) → ¬NeedAPassportToVisit(americanCitizen, x))
∀x (BalticCountry(x) → RussianAsWidelySpokenLanguage(x))
∀x (HasManyEstonianStreetSigns(x) → BalticCountry(x))
(FlightDestination(placeVisitedByMax) ∧ From(placeVisitedByMax, tweedAirport)) ⊕ BalticCountry(placeVisitedByMax) → ¬(FlightDestination(placeVisitedByMax) ∧ From(placeVisitedByMax, tweedAirport))","FlightDestination(placeVisitedByMax) ∧ From(placeVisitedByMax, tweedAirport)
HasManyEstonianStreetSigns(placeVisitedByMax)
 ¬(HasManyEstonianStreetSigns(placeVisitedByMax) ∧ BalticCountry(placeVisitedByMax))",,
352,"All business organizations are legal entities.
All companies are business organizations.
All private companies are companies.
All legal entities are created under law. 
All legal entities have legal obligations.
If the Harvard Weekly Book Club is created under law, then it is not a private company. ","The Harvard Weekly Book club has legal obligations.
The Harvard Weekly Book club has legal obligations and is a private company.
If the Harvard Weekly Book club is a private company, then it either has legal obligations or is created under law.","U
F
T","∀x (BusinessOrganization(x) → LegalEntity(x))
∀x (Company(x) → BusinessOrganization(x))
∀x (PrivateCompany(x) → Company(x))
∀x (LegalEntity(x) → CreatedUnderLaw(x))
∀x (LegalEntity(x) → LegalObligation(x))
CreatedUnderLaw(harvardWeeklyBookClub) → ¬PrivateCompany(harvardWeeklyBookClub)","LegalObligation(harvardWeeklyBookClub)
LegalObligation(harvardWeeklyBookClub) ∧ PrivateCompany(harvardWeeklyBookClub)
PrivateCompany(harvardWeeklyBookClub) → LegalObligation(harvardWeeklyBookClub) ⊕ CreatedUnderLaw(harvardWeeklyBookClub)",,
353,"If Max listens to music, he either listens to classical music or rap.
All the classical songs that Max listens to are from the 12th century. 
If Max is listening to a rap song, then the song is by Kanye West. 
All songs by Kanye West are full of lyrics. 
All songs that are full of lyrics need to be written with words
It is not true that “As it was” by Harry Styles is classical music that Max listens to and is from the 12th century.
Max listens to ""As it was"" by Harry Styles.","“As it was” by Harry Styles needs to be written with words. 
""As it was” by Harry Styles is a song from the 12th century. 
""As it was” by Harry Styles is not both a song from Kanye West and needed to be written with words.","T
U
F","∀x (MaxListenTo(x) → (ClassicalMusic(x) ⊕ Rap(x)))
∀x (MaxListenTo(x) ∧ ClassicalMusic(x) → Song(x) ∧ From(x, 12thCentury))
∀x (MaxListenTo(x) ∧ Rap(x) → Song(x) ∧ By(x, kanyeWest))
∀x (Song(x) ∧ By(x, kanyeWest) → Song(x) ∧ FullOfLyrics(x))
∀x (Song(x) ∧ FullOfLyrics(x) → NeedToBeWrittenWith(x, words))
¬(ClassicalMusic(asItWasByHarryStyles) ∧ Song(asItWasByHarryStyles) ∧ From(asItWasByHarryStyles, 12thCentury))
MaxListenTo(asItWasByHarryStyles)","NeedToBeWrittenWith(asItWasByHarryStyles, words) 
Song(asItWasByHarryStyles) ∧ From(asItWasByHarryStyles, 12thCentury) 
¬(Song(asItWasByHarryStyles) ∧ By(asItWasByHarryStyles, kanyeWest) ∧ NeedToBeWrittenWith(asItWasByHarryStyles, words))",,
354,"People either believe in Santa Claus, or think he is made up.
People who believe in Santa Claus expect to get presents on Christmas morning.
People who think Santa Claus is made up, then they would be surprised to see him in their house.
People who expect presents on Christmas morning are excited for it to be Christmas.
If people would be surprised to see Santa Claus in their house, then they don't leave out cookies on Chrismtas Eve.
Mercy is not someone who expects presents Christmas morning, is excited for Chrismtas, and believes in Santa Claus.","Marcy either believes in Santa Claus or doesn't leave cookies out on Christmas Eve.
Marcy is not someone who both leaves out cookies on Chrismtas eve and thinks Santa Claus is made up, or Marcy believes in Santa Claus.","T
F","∀x (BelieveIn(x, santaClaus) ⊕ ThinkMadeUp(x, santaClaus))
∀x (BelieveIn(x, santaClaus) → Expect(x, present, christmasMorning))
∀x (ThinkMadeUp(x, santaClaus) → WouldBeSurprisedToSeeIn(x, santaClaus, house))
∀x (Expect(x, present, christmasMorning) → ExcitedFor(x, christmas))
∀x (WouldBeSurprisedToSeeIn(x, santaClaus, house) → ¬LeaveOut(x, cookies))
¬(Expect(marcy, present, christmasMorning) ∧ ExcitedFor(marcy, christmas) ∧ BelieveIn(marcy, santaClaus))","BelieveIn(marcy, santaClaus) ⊕ LeaveOut(marcy, cookies)
 ¬(LeaveOut(marcy, cookies) ∧ ThinkMadeUp(marcy, santaClaus)) ∨ BelieveIn(marcy, santaClaus)",,
355,"All people who eat salads regularly are very conscious about their health and eating habits.
All people who grew up in health-conscious childhood homes eat salads regularly.
All people who fulfill their daily nutritional intakes grew up in health-conscious childhood homes.
All people who disregard their physical well-being are not very conscious about their health and eating habits.
If people visit the gym at least once a day, then they always fulfill their daily nutritional intakes.
Taylor either grew up in a health-conscious childhood home and disregard her physical well-being, or she did neither.","Taylor eats salads regularly.
Taylor visits the gym at least once a day.
Taylor neither grew up in a health-conscious childhood home nor does she visit the gym at least once a day.","U
F
T","∀x (RegularlyEat(x, salad) → ConsciousAbout(x, health) ∧ ConsciousAbout(x, eatinggHabit))
∀x (GrewUpIn(x, health-consciousChildhoodHome) → RegularlyEat(x, salad))
∀x (Fulfill(x, dailyNutritionalIntake) → GrewUpIn(x, health-consciousChildhoodHome))
∀x (Disregard(x, physicalWellbeing) → ¬(ConsciousAbout(x, health) ∧ ConsciousAbout(x, eatingHabit)))
∀x (VisitDaily(x, gym) → Fulfill(x, dailyNutritionalIntake))
¬(GrowUpIn(taylor, health-consciousChildhoodHome) ⊕ Disregard(taylor, physicalWellbeing))","RegularlyEat(taylor, salad)
VisitDaily(taylor, gym)
¬GrowUpIn(taylor, health-consciousChildhoodHome) ∧ ¬VisitDaily(taylor, gym))",,
356,"If people work well in teams in the workplace, then they get along with all their colleagues at their work.
If people come to work every day with a positive attitude, then they work well in teams in the workplace.
People either come to work every day with a positive attitude or are always tired every morning.
If people are always tired in the morning, then they are criticized by their boss.
If people are criticized by their boss, then they do not receive positive feedback from teams at work.
Kat either is a person who works well in teams in the workplac and is always tired every morning, or she is neither.","Kat is a person who comes to work every day with a positive attitude.
Kat gets along with her colleagues at her work and receives positive feedback from teams at her work.
Kat either gets along with her colleagues at her work or receives positive feedback from teams at her work.","U
F 
T","∀x (WorkWellInTeamsIn(x, workPlace) → ∀y (Colleague(y) ∧ GetAlongWithAtWork(x, y)))
∀x (ComeToWorkWithEveryDay(x, positiveAttitude) → WorkWellInTeamsIn(x, workPlace))
∀x (ComeToWorkWithEveryDay(x, positiveAttitude) ⊕ AlwaysTiredInMorning(x))
∀x (AlwaysTiredInMorning(x) → CriticizedBy(x, boss))
∀x (CriticizedBy(x, boss) → ¬ReceiveFromAtWork(x, positiveFeedback, team))
¬(WorkWellInTeamsIn(kat, workPlace) ⊕ Tired(kat))","ComeToWorkWithEveryDay(kat, positiveAttitude)
(∀y (Colleague(y) ∧ GetAlongWithAtWork(kat, y))) ∧ ReceiveFromAtWork(kat, positiveFeedback, team)
(∀y (Colleague(y) ∧ GetAlongWithAtWork(kat, y))) ⊕ ReceiveFromAtWork(kat, positiveFeedback, team)",,
357,"If people join student government in high school, then they will have many opportunities to improve their communication skills.
If students stay alone in high school, then they will have have many opportunities to improve their communication skills.
People who want to gain leadership skills also join student government in high school.
If people are well-adjusted and engaged within their communities, then they are respected by the residents.
If people care about creating community, then they are well-adjusted and engaged within their communities.
If Tyler does not stay alone in high school, then Tyler has many opportunities to improve their communication skills.","Tyler joined the student government in high school.
If Tyler either both stays alone in high school and is well-adjusted and engaged in their community, or neither stays alone in high school nor is well-adjusted and engaged in their community, then Tyler either both has many opportunities to improve their communication skills and stays alone in high school or neither has many opportunities to improve their communication skills nor stays alone in high school.","U
T","∀x (Join(x, studentGovernment) → ManyOpportunityToImprove(x, communicationSkill)) 
∀x (StayAloneIn(x, highSchool)  → ¬ManyOpportunityToImprove(x, communicationSkill)) 
∀x (WantToLead(x) → JoinIn(x, studentGovernment, highSchool)) 
∀x (WellAdjustedWithin(x, community) ∧ EngagedWithIn(x, community) → RespectedBy(x, resident) ) 
∀x (CareAboutCreating(x, community) → WellAdjustedWithin(x, community) ∧ EngagedWithIn(x, community))
¬(JoinIn(tyler, studentGovernment, highSchool) ∧ CareAboutCreating(tyler, community)) → ¬ManyOpportunityToImprove(x, communicationSkill) ∧ ¬CareAboutCreating(tyler, community))","JoinIn(tyler, studentGovernment, highSchool)
¬(StayAloneIn(tyler, highSchool) ⊕ (Well-adjustedWithin(x, community) ∧ EngagedWithIn(x, community))) → ¬(ManyOpportunityToImprove(tyler, communicationSkill) ⊕ StayAloneIn(tyler, highSchool))",,
358,"If people play competitive equestrian polo, then they are not expected to prepare for standardized exams.
If people are world-class at horse riding and polo, then they play competitive equestrian polo.
If people are expected to become a doctor or lawyers after school, then they are expected to prepare for standardized exams.
If people are expected to get high-paying and stable careers, then they are expected to become a doctor or a lawyer after school.
People who are nominated the CRA reward during the undergraduate study are expected to get high paying, stable careers. 
Riley either both is expected to get a high paying, stable career and expected to prepare for standardized exams, or she neither is expected to get a high paying, stable career nor expected to prepare for standardized exams.","Riley is world-class at horse riding and polo.
Riley is nominated the CRA reward during the undergraduate study.
Riley either plays competitive equestrian polo or, if she does not, then she is nominated the CRA reward during the undergraduate study.","U
U
U","∀x (Play(x, competitiveEquestrianPolo) → ¬ExpectedToPrepareFor(x, standardizedExam))
∀x (WorldClassAt(x, horseRiding) ∧ WorldClassAt(x, polo) → Play(riley, competitiveEquestrianPolo))
∀x (ExpectedToBecome(x, doctor) ∨ ExpectedToBecome(x, lawyer) → ExpectedToPrepareFor(x, standardizedExam))
∀x (ExpectedToGet(x, highPayingCareer) ∧ ExpectedToGet(x, stableCareer) → ExpectedToBe(x, doctor) ∨ ExpectedToBe(x, lawyer))
∀x (Nominated(x, cRAAward) → ExpectedToGet(x, highPayingCareer) ∧ ExpectedToGet(x, stableCareer))
¬((ExpectedToGet(riley, highPayingCareer) ∧ ExpectedToGet(riley, stableCareer)) ⊕ ExpectedToPrepareFor(riley, standardizedExam))","WorldClassAt(x, horseRiding) ∧ WorldClassAt(x, polo)
Nominated(riley, cRAAward)
Play(riley, competitiveEquestrianPolo) ⊕ Nominated(riley, cRAAward)",,
